Country,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2026-Annual
US Dollar Index,122.5685043334961,122.58172607421875,124.28653717041016,128.2305450439453,124.41683959960938
KRW/USD,1476.2197265625,1503.2572021484375,1524.4901123046875,1540.5230712890625,1511.1224365234375
JPY/USD,151.6044158935547,165.7625274658203,196.1183624267578,237.6928253173828,187.79454040527344
