Country,Base_Value_(t0),2026-Q1,2026-Q2,2026-Q3,2026-Q4,2026-Annual
US Dollar Index,90.1112060546875,1.3610868453979492,1.3582006692886353,1.3648215532302856,1.4037305116653442,1.3719600439071655
KRW/USD,1120.0699462890625,1.3099735975265503,1.3091686964035034,1.297780156135559,1.2861284017562866,1.3007627725601196
JPY/USD,82.61109924316406,1.7895928621292114,1.7836674451828003,1.7833937406539917,1.7718266248703003,1.7821201086044312
