Country,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
US Dollar Index,122.8489761352539,122.46713256835938,122.27425384521484,122.2040023803711,122.07074737548828,121.76165008544922,121.07672119140625,120.20774841308594,119.40943908691406,118.836669921875,118.63204193115234,118.44293212890625
KRW/USD,1462.4921875,1467.2310791015625,1470.1339111328125,1471.81494140625,1472.270751953125,1472.2158203125,1471.9453125,1471.6695556640625,1471.458740234375,1470.8387451171875,1470.5848388671875,1469.930419921875
JPY/USD,148.3174285888672,149.1560516357422,149.95611572265625,151.14712524414062,152.75738525390625,155.20401000976562,158.6904754638672,163.1964874267578,168.62521362304688,174.14883422851562,179.06471252441406,182.82211303710938
