Country,Base_Value_(t0),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
US Dollar Index,90.1112060546875,1.3633041381835938,1.3590666055679321,1.3569262027740479,1.3561465740203857,1.3546677827835083,1.3512376546859741,1.3436366319656372,1.3339933156967163,1.3251341581344604,1.3187779188156128,1.31650710105896,1.3144084215164185
KRW/USD,1120.0699462890625,1.3057150840759277,1.3099459409713745,1.3125375509262085,1.3140383958816528,1.3144453763961792,1.3143963813781738,1.314154863357544,1.313908576965332,1.3137203454971313,1.313166856765747,1.312940239906311,1.312355875968933
JPY/USD,82.61109924316406,1.795369267463684,1.80552077293396,1.815205454826355,1.829622507095337,1.8491145372390747,1.8787307739257812,1.9209340810775757,1.975479006767273,2.0411932468414307,2.10805606842041,2.167562484741211,2.213045358657837
