date,series,value,confidence_95,lower_95,upper_95
2011-01-01,historical,1.0,0.0,1.0,1.0
2011-02-01,historical,0.9994830863071492,0.0,0.9994830863071492,0.9994830863071492
2011-03-01,historical,1.0002756219121274,0.0,1.0002756219121274,1.0002756219121274
2011-04-01,historical,0.9912926035568412,0.0,0.9912926035568412,0.9912926035568412
2011-05-01,historical,0.9841206369536291,0.0,0.9841206369536291,0.9841206369536291
2011-06-01,historical,0.9784922573565383,0.0,0.9784922573565383,0.9784922573565383
2011-07-01,historical,0.9687215005580553,0.0,0.9687215005580553,0.9687215005580553
2011-08-01,historical,0.9655433610517355,0.0,0.9655433610517355,0.9655433610517355
2011-09-01,historical,0.9754893161918444,0.0,0.9754893161918444,0.9754893161918444
2011-10-01,historical,0.9923187165487143,0.0,0.9923187165487143,0.9923187165487143
2011-11-01,historical,0.9979014656563423,0.0,0.9979014656563423,0.9979014656563423
2011-12-01,historical,1.0058644978484566,0.0,1.0058644978484566,1.0058644978484566
2012-01-01,historical,1.0110100822569281,0.0,1.0110100822569281,1.0110100822569281
2012-02-01,historical,1.0085855819901535,0.0,1.0085855819901535,1.0085855819901535
2012-03-01,historical,1.0075714379415295,0.0,1.0075714379415295,1.0075714379415295
2012-04-01,historical,1.0094462036578367,0.0,1.0094462036578367,1.0094462036578367
2012-05-01,historical,1.0157725043938148,0.0,1.0157725043938148,1.0157725043938148
2012-06-01,historical,1.0232114385655664,0.0,1.0232114385655664,1.0232114385655664
2012-07-01,historical,1.0224860207395015,0.0,1.0224860207395015,1.0224860207395015
2012-08-01,historical,1.0188525188399888,0.0,1.0188525188399888,1.0188525188399888
2012-09-01,historical,1.014458313778672,0.0,1.014458313778672,1.014458313778672
2012-10-01,historical,1.006601392659647,0.0,1.006601392659647,1.006601392659647
2012-11-01,historical,0.9959027889487244,0.0,0.9959027889487244,0.9959027889487244
2012-12-01,historical,0.9855880368875539,0.0,0.9855880368875539,0.9855880368875539
2013-01-01,historical,0.9752554061223969,0.0,0.9752554061223969,0.9752554061223969
2013-02-01,historical,0.9737355888828202,0.0,0.9737355888828202,0.9737355888828202
2013-03-01,historical,0.9768286052976626,0.0,0.9768286052976626,0.9768286052976626
2013-04-01,historical,0.9842514254555822,0.0,0.9842514254555822,0.9842514254555822
2013-05-01,historical,0.9864583240678458,0.0,0.9864583240678458,0.9864583240678458
2013-06-01,historical,0.9945759346642667,0.0,0.9945759346642667,0.9945759346642667
2013-07-01,historical,0.998120900795927,0.0,0.998120900795927,0.998120900795927
2013-08-01,historical,0.9978570128274123,0.0,0.9978570128274123,0.9978570128274123
2013-09-01,historical,0.9897361784251647,0.0,0.9897361784251647,0.9897361784251647
2013-10-01,historical,0.9785474934186721,0.0,0.9785474934186721,0.9785474934186721
2013-11-01,historical,0.9696493815956325,0.0,0.9696493815956325,0.9696493815956325
2013-12-01,historical,0.9617735109193895,0.0,0.9617735109193895,0.9617735109193895
2014-01-01,historical,0.9584245402343488,0.0,0.9584245402343488,0.9584245402343488
2014-02-01,historical,0.9578346285556418,0.0,0.9578346285556418,0.9578346285556418
2014-03-01,historical,0.9573118666554183,0.0,0.9573118666554183,0.9573118666554183
2014-04-01,historical,0.9498910259310639,0.0,0.9498910259310639,0.9498910259310639
2014-05-01,historical,0.9394574631996232,0.0,0.9394574631996232,0.9394574631996232
2014-06-01,historical,0.9306460264395456,0.0,0.9306460264395456,0.9306460264395456
2014-07-01,historical,0.9246306917061482,0.0,0.9246306917061482,0.9246306917061482
2014-08-01,historical,0.9218743288881677,0.0,0.9218743288881677,0.9218743288881677
2014-09-01,historical,0.9220554586989211,0.0,0.9220554586989211,0.9220554586989211
2014-10-01,historical,0.9294246648688375,0.0,0.9294246648688375,0.9294246648688375
2014-11-01,historical,0.9439092980756493,0.0,0.9439092980756493,0.9439092980756493
2014-12-01,historical,0.9565207031258469,0.0,0.9565207031258469,0.9565207031258469
2015-01-01,historical,0.9612052032773682,0.0,0.9612052032773682,0.9612052032773682
2015-02-01,historical,0.9670395614114963,0.0,0.9670395614114963,0.9670395614114963
2015-03-01,historical,0.9749188898704791,0.0,0.9749188898704791,0.9749188898704791
2015-04-01,historical,0.9740303789936209,0.0,0.9740303789936209,0.9740303789936209
2015-05-01,historical,0.9741074809412903,0.0,0.9741074809412903,0.9741074809412903
2015-06-01,historical,0.9797673338953495,0.0,0.9797673338953495,0.9797673338953495
2015-07-01,historical,0.9920376458887112,0.0,0.9920376458887112,0.9920376458887112
2015-08-01,historical,1.0102369797063258,0.0,1.0102369797063258,1.0102369797063258
2015-09-01,historical,1.0244924992860824,0.0,1.0244924992860824,1.0244924992860824
2015-10-01,historical,1.02467373966146,0.0,1.02467373966146,1.02467373966146
2015-11-01,historical,1.0258157335621518,0.0,1.0258157335621518,1.0258157335621518
2015-12-01,historical,1.032044259749642,0.0,1.032044259749642,1.032044259749642
2016-01-01,historical,1.0442867859001828,0.0,1.0442867859001828,1.0442867859001828
2016-02-01,historical,1.057056273613954,0.0,1.057056273613954,1.057056273613954
2016-03-01,historical,1.0581900413773582,0.0,1.0581900413773582,1.0581900413773582
2016-04-01,historical,1.0480825869718826,0.0,1.0480825869718826,1.0480825869718826
2016-05-01,historical,1.0474355388642684,0.0,1.0474355388642684,1.0474355388642684
2016-06-01,historical,1.0467120837534767,0.0,1.0467120837534767,1.0467120837534767
2016-07-01,historical,1.039131990643224,0.0,1.039131990643224,1.039131990643224
2016-08-01,historical,1.0251452084392934,0.0,1.0251452084392934,1.0251452084392934
