Country,Base_Value_(t0),2026-Q1,2026-Q2,2026-Q3,2026-Q4,2026-Annual
US Dollar Index,90.1112060546875,1.3597859144210815,1.353784203529358,1.333328366279602,1.3159788846969604,1.3407193422317505
KRW/USD,1120.0699462890625,1.3099379539489746,1.3158750534057617,1.317026972770691,1.3167712688446045,1.314902663230896
JPY/USD,82.61109924316406,1.804681420326233,1.8478935956954956,1.9599822759628296,2.120168685913086,1.933181643486023
