us_Trade Weighted Dollar Index,us_ret,kr_us_spread,jp_us_spread,corr_us_kr,corr_us_jp,us_ret_lag1,US_Interest_Rate,US_GDP,US_CPI,US_Employment,US_Unemployment,US_Trade_Balance
kr_fx,kr_ret,kr_us_spread,kr_jp_spread,corr_us_kr,corr_kr_jp,kr_ret_lag1,KR_Interest_Rate,KR_GDP,KR_CPI,KR_Employment,KR_Unemployment,KR_Trade_Balance
jp_fx,jp_ret,jp_us_spread,kr_jp_spread,corr_us_jp,corr_kr_jp,jp_ret_lag1,JP_Interest_Rate,JP_GDP,JP_CPI,JP_Employment,JP_Unemployment,JP_Trade_Balance
