date,series,value,confidence_95,lower_95,upper_95
2011-01-01,historical,1.0,0.0,1.0,1.0
2011-02-01,historical,0.9976212711208887,0.0,0.9976212711208887,0.9976212711208887
2011-03-01,historical,0.9929282352060644,0.0,0.9929282352060644,0.9929282352060644
2011-04-01,historical,0.9844302061559946,0.0,0.9844302061559946,0.9844302061559946
2011-05-01,historical,0.9785648213927693,0.0,0.9785648213927693,0.9785648213927693
2011-06-01,historical,0.9744417547059295,0.0,0.9744417547059295,0.9744417547059295
2011-07-01,historical,0.9694801543146522,0.0,0.9694801543146522,0.9694801543146522
2011-08-01,historical,0.9679396385428448,0.0,0.9679396385428448,0.9679396385428448
2011-09-01,historical,0.9762729931019298,0.0,0.9762729931019298,0.9762729931019298
2011-10-01,historical,0.9850510314209122,0.0,0.9850510314209122,0.9850510314209122
2011-11-01,historical,0.9933766232654478,0.0,0.9933766232654478,0.9933766232654478
2011-12-01,historical,1.0023363489712838,0.0,1.0023363489712838,1.0023363489712838
2012-01-01,historical,1.0067461134698508,0.0,1.0067461134698508,1.0067461134698508
2012-02-01,historical,1.0042205546042904,0.0,1.0042205546042904,1.0042205546042904
2012-03-01,historical,1.0042860557724584,0.0,1.0042860557724584,1.0042860557724584
2012-04-01,historical,1.0053453384120217,0.0,1.0053453384120217,1.0053453384120217
2012-05-01,historical,1.011670604552746,0.0,1.011670604552746,1.011670604552746
2012-06-01,historical,1.02071957958276,0.0,1.02071957958276,1.02071957958276
2012-07-01,historical,1.0254734784361283,0.0,1.0254734784361283,1.0254734784361283
2012-08-01,historical,1.0258784884456338,0.0,1.0258784884456338,1.0258784884456338
2012-09-01,historical,1.021008019381054,0.0,1.021008019381054,1.021008019381054
2012-10-01,historical,1.0168542952764847,0.0,1.0168542952764847,1.0168542952764847
2012-11-01,historical,1.0163387268459119,0.0,1.0163387268459119,1.0163387268459119
2012-12-01,historical,1.0139979297720743,0.0,1.0139979297720743,1.0139979297720743
2013-01-01,historical,1.0121765939214433,0.0,1.0121765939214433,1.0121765939214433
2013-02-01,historical,1.0133166842056118,0.0,1.0133166842056118,1.0133166842056118
2013-03-01,historical,1.0169855237347751,0.0,1.0169855237347751,1.0169855237347751
2013-04-01,historical,1.0183372325399633,0.0,1.0183372325399633,1.0183372325399633
2013-05-01,historical,1.0208854531119123,0.0,1.0208854531119123,1.0208854531119123
2013-06-01,historical,1.025181413025484,0.0,1.025181413025484,1.025181413025484
2013-07-01,historical,1.030148849991244,0.0,1.030148849991244,1.030148849991244
2013-08-01,historical,1.033101699704711,0.0,1.033101699704711,1.033101699704711
2013-09-01,historical,1.03435536333375,0.0,1.03435536333375,1.03435536333375
2013-10-01,historical,1.0319992627386312,0.0,1.0319992627386312,1.0319992627386312
2013-11-01,historical,1.0332610529418607,0.0,1.0332610529418607,1.0332610529418607
2013-12-01,historical,1.034677984021132,0.0,1.034677984021132,1.034677984021132
2014-01-01,historical,1.0387686780816623,0.0,1.0387686780816623,1.0387686780816623
2014-02-01,historical,1.0422340660740192,0.0,1.0422340660740192,1.0422340660740192
2014-03-01,historical,1.0439780273377384,0.0,1.0439780273377384,1.0439780273377384
2014-04-01,historical,1.0437166380854421,0.0,1.0437166380854421,1.0437166380854421
2014-05-01,historical,1.0424496727804207,0.0,1.0424496727804207,1.0424496727804207
2014-06-01,historical,1.0420867976304453,0.0,1.0420867976304453,1.0420867976304453
2014-07-01,historical,1.0410887194651943,0.0,1.0410887194651943,1.0410887194651943
2014-08-01,historical,1.0436423734338565,0.0,1.0436423734338565,1.0436423734338565
2014-09-01,historical,1.0505572627561948,0.0,1.0505572627561948,1.0505572627561948
2014-10-01,historical,1.0597879362466904,0.0,1.0597879362466904,1.0597879362466904
2014-11-01,historical,1.071826165602285,0.0,1.071826165602285,1.071826165602285
2014-12-01,historical,1.0880080328918686,0.0,1.0880080328918686,1.0880080328918686
2015-01-01,historical,1.1070478002521529,0.0,1.1070478002521529,1.1070478002521529
2015-02-01,historical,1.1250625087560748,0.0,1.1250625087560748,1.1250625087560748
2015-03-01,historical,1.144984428665222,0.0,1.144984428665222,1.144984428665222
2015-04-01,historical,1.155559278041274,0.0,1.155559278041274,1.155559278041274
2015-05-01,historical,1.1598128940363621,0.0,1.1598128940363621,1.1598128940363621
2015-06-01,historical,1.16536224438271,0.0,1.16536224438271,1.16536224438271
2015-07-01,historical,1.1757208000777333,0.0,1.1757208000777333,1.1757208000777333
2015-08-01,historical,1.1891414829510618,0.0,1.1891414829510618,1.1891414829510618
2015-09-01,historical,1.2014473771812295,0.0,1.2014473771812295,1.2014473771812295
2015-10-01,historical,1.2069063999915364,0.0,1.2069063999915364,1.2069063999915364
2015-11-01,historical,1.2166803674405493,0.0,1.2166803674405493,1.2166803674405493
2015-12-01,historical,1.227164647069545,0.0,1.227164647069545,1.227164647069545
2016-01-01,historical,1.2426559028617796,0.0,1.2426559028617796,1.2426559028617796
2016-02-01,historical,1.2503280164112105,0.0,1.2503280164112105,1.2503280164112105
2016-03-01,historical,1.2477473270926163,0.0,1.2477473270926163,1.2477473270926163
2016-04-01,historical,1.2396942396936264,0.0,1.2396942396936264,1.2396942396936264
2016-05-01,historical,1.2377971166616422,0.0,1.2377971166616422,1.2377971166616422
2016-06-01,historical,1.237864399514356,0.0,1.237864399514356,1.237864399514356
2016-07-01,historical,1.24096672813585,0.0,1.24096672813585,1.24096672813585
2016-08-01,historical,1.2396796242524386,0.0,1.2396796242524386,1.2396796242524386
2016-09-01,historical,1.2417033773164023,0.0,1.2417033773164023,1.2417033773164023
