Node_Name,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01,2026-11-01,2026-12-01
us_Trade Weighted Dollar Index,0.7798129844042307,2.445772111398199,3.7781818851291433,4.691026131549322,5.101699875679827,5.128677143291924,5.025225513642866,4.846140147638337,4.546121076573613,4.24943161418048,4.028408335514342,3.672451803106412
kr_fx,93.33062334291958,81.11877974999993,67.8667476494852,53.20350618508701,44.46814989251334,38.534706119140765,34.32921114499982,29.04756565228263,26.073418872080993,20.114624633424455,11.050554136271103,1.0289399827140642
jp_fx,5.918406121614737,5.758602667369303,5.491679942628849,4.499196553360974,3.263648431055742,1.8137466409399963,0.3022747446095764,1.4662712203050035,3.7861972365427903,5.927721577322245,7.823517757114217,9.779501515705789
us_ret,0.016652403154151438,0.01811508251974535,0.01814200104240465,0.017111061306432723,0.015250979033689976,0.012517650301823616,0.01089313330470705,0.010776528547088623,0.01060805019722414,0.011615592983112336,0.012795073155891418,0.011787946804982186
kr_ret,0.0064466415620471704,0.005776086838074115,0.006939700122382179,0.005344593685966506,0.0011255088622694016,0.007216269996537209,0.012637010799213887,0.019359916475509643,0.028811267972644806,0.037263062030460356,0.046425071185602185,0.05928861457044601
jp_ret,0.00464146647053194,0.012058318269553184,0.020971304506887434,0.03250046020066547,0.04094355221089172,0.04963838370187759,0.05601371932419586,0.06190379129519844,0.06736731250009155,0.06782300395907592,0.0661665204581337,0.06523683048331833
kr_us_spread,0.010374245529934406,0.013735196766728401,0.01565128210808468,0.019773689953847887,0.029127864220983506,0.03780736089644432,0.04517843001440811,0.05301169068314171,0.0604422368039856,0.06612782297905731,0.06999743525197602,0.07329952211425383
jp_us_spread,0.02106416822488022,0.029470029659368513,0.03607987623373794,0.04383784867305946,0.047199697678333284,0.04947814754907227,0.0492300017793808,0.049267891045995715,0.047480623283612196,0.043668360496356966,0.03854752104084015,0.03343959418938827
kr_jp_spread,0.010348706825533986,0.015004472133467095,0.020186354330028057,0.025084548521592996,0.02217910278033663,0.019834833510134722,0.017311203346577167,0.015489686977975368,0.01326099836931181,0.010988502099891901,0.00930885667939806,0.00813537761926031
corr_us_kr,0.03806093485893092,0.04077233671760783,0.055615150959044124,0.07210198748420937,0.0867027740039732,0.095604409418648,0.10265472153621136,0.10505581273524123,0.10235195024831845,0.09682275970751952,0.08584020462305308,0.08134979781959972
corr_us_jp,0.04494141386168049,0.06252484435088534,0.074988941533776,0.08163103298699947,0.0888863168368782,0.102185384045273,0.11780710292037844,0.1165617303510279,0.10972196063753337,0.10404039367295581,0.10297269093428496,0.08380833673134647
corr_kr_jp,0.01988473733016971,0.009197983529003473,0.026159492555701713,0.03089746121411574,0.006476807637828097,0.04106636655395024,0.10321342715661164,0.1994206584972973,0.3283710288155257,0.48723570344978573,0.6697633362080953,0.8611274433482221
us_ret_lag1,0.012983526934798718,0.016121694107280968,0.017405478047823428,0.017356616715231418,0.016368892209366798,0.014442781960051537,0.011667918104002476,0.009936387486449719,0.009795412811021328,0.009420272119204522,0.010621878315255642,0.011740221817624092
kr_ret_lag1,0.0037274100995429212,0.0037825169689084757,0.00048338716579237294,0.0017899491196315138,0.007790365933525787,0.01949203194929409,0.031605326485408786,0.041565483459695816,0.05170909690568352,0.06277795082395934,0.07060949894824219,0.07603038159586334
jp_ret_lag1,0.004742333392160416,0.005335967684261322,0.013461509396436214,0.02306247386418724,0.035303176768777846,0.044297352835500715,0.05325822965844154,0.05958955842646408,0.06553587483039283,0.0705693634243927,0.07148595524968338,0.07026203755703736
US_Interest_Rate,1.3374119620689457,1.1504859942593413,1.010605648993737,0.876397391227508,0.7747858384997643,0.6220897658035898,0.40062167435467666,0.14800004397455657,0.13733908409154294,0.4583398262148828,0.7574937641336015,1.0553877762126
KR_Interest_Rate,0.9029202315565001,0.778861419016569,0.6143233904947598,0.47465940991433575,0.3200830628366811,0.14885600426116463,0.04201852248874882,0.22982953979037513,0.4238373482704527,0.602539452826846,0.7833784406064357,0.9521903841878774
JP_Interest_Rate,0.414452392212578,0.3643408421728235,0.3194429974551267,0.27133350831898556,0.23201976704801508,0.19334057858402343,0.15581811251440503,0.12276955430526071,0.09386563362550426,0.07101434589913935,0.05624607981457119,0.03725759650336469
US_GDP,358407.6719942121,338717.1059040716,323968.474245823,294101.1175260255,271226.6139524272,247917.73331761453,212284.21974675544,176170.2120000003,141838.16455680504,109543.7979747029,81437.57500000019,58378.33328140341
KR_GDP,9733452.307296515,8457312.625387192,8016597.412907124,6589231.319287896,5660838.895451903,5039183.187135935,4108832.7140375376,3176538.2668278217,2251760.3563342094,1429240.426199913,798252.0,310056.2999999523
JP_GDP,6432983.987453431,6015734.911030412,5717880.6949187815,5018256.519570768,4407151.786170423,3743850.099999994,3171043.815468371,2533570.9016533494,1945355.1621702313,1407617.1917703152,973502.9526572824,662272.3788758218
US_CPI,0.1557821772535095,0.2406297056172485,0.31734514895496024,0.3724557012056653,0.40162990718093894,0.41578400827107587,0.4123429611591034,0.3903799930229187,0.3592951879707914,0.31708155134669846,0.26738728935270095,0.21361176740124965
KR_CPI,0.015594483911385237,0.01273913665929391,0.0102974772757225,0.008304432552674185,0.00663316748656162,0.005429557207641045,0.0043206107411920824,0.0033485808667627903,0.002591819274587265,0.002004170084800916,0.0016742581021008396,0.0015027451143778403
